Row_Index,Question,Cypher_executable,Generated_Cypher (Fallback)
1,Show me enzyme EC:6.4.1.2,MATCH (n:EC {id: 'EC:6.4.1.2'}) RETURN n,MATCH (e:EC {id: 'EC:6.4.1.2'}) RETURN properties(e)
4,Display reaction R02814,MATCH (n:Reaction {id: 'R02814'}) RETURN n,MATCH (r:Reaction {id: 'R02814'}) RETURN properties(r)
18,Check if enzyme EC:1.3.1.10 exists,MATCH (n:EC {id: 'EC:1.3.1.10'}) RETURN EXISTS((n)),MATCH (e:EC {id: 'EC:1.3.1.10'}) RETURN e
19,Is reaction R07449 in the database?,MATCH (n:Reaction {id: 'R07449'}) RETURN EXISTS((n)),MATCH (r:Reaction {id: 'R07449'}) RETURN r
23,Display properties of enzyme EC:4.2.1.59,MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n),MATCH (e:EC {id: 'EC:4.2.1.59'}) RETURN properties(e)
24,What information is stored for reaction R00200?,MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n),MATCH (r:Reaction {id: 'R00200'}) RETURN properties(r)
87,What orthologs perform reaction R06870?,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06870'}) RETURN n,MATCH (r:Reaction {id: 'R06870'})<-[:CATALYZES]-(e:EC)<-[:ENCODES]-(g:Gene)-[:BELONGS_TO]->(o:Ortholog) RETURN o
116,Count reactions catalyzed by EC:1.1.1.1,MATCH (n {id: 'EC:1.1.1.1'})-[r]->(m) RETURN count(r),MATCH (e:EC {id: 'EC:1.1.1.1'})-[:CATALYZES]->(r:Reaction) RETURN count(r)
117,How many reactions use compound C00022 as substrate?,MATCH (n {id: 'C00022'})-[r]->(m) RETURN count(r),MATCH (c:Compound {id: 'C00022'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN count(r)
120,Count functional units in pathway ko00020,MATCH (n {id: $id})-[r]->(m) RETURN count(r),MATCH (p:Pathway {id: 'path:ko00020'})-[:CONTAINS]->(r:Reaction)<-[:CATALYZES]-(e:EC)<-[:ENCODES]-(g:Gene)-[:BELONGS_TO]->(o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN count(DISTINCT fu)
121,How many genes encode enzyme EC:1.1.1.1?,MATCH (n)-[r]->(m {id: 'EC:1.1.1.1'}) RETURN count(r),MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:1.1.1.1'}) RETURN count(DISTINCT g)
124,Count enzymes that catalyze reaction R00001?,MATCH (n)-[r]->(m {id: 'R00001'}) RETURN count(r),MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id: 'R00001'}) RETURN count(DISTINCT e)
125,How many compounds are substrates of reaction R00010?,MATCH (n)-[r]->(m {id: 'R00010'}) RETURN count(r),MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00010'}) RETURN count(c)
142,Find largest pathways by reaction R06871 number,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) WITH p, COUNT(r) AS reactionCount RETURN p.name, reactionCount ORDER BY reactionCount DESC"
146,Find orthologs that catalyze more than 5 reactions,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (o:Ortholog)<-[:BELONGS_TO]-(g:Gene)-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) WITH o, COUNT(DISTINCT r) AS reactionCount WHERE reactionCount > 5 RETURN o"
