phase,category,question,check,cypher_executable,generated_cypher,QAChain,QAChain_Answer
Phase 1,Direct Entity Lookup,What are the properties of gene ath:AT1G01040?,1.0,MATCH (n:Gene {id: 'ath:AT1G01040'}) RETURN properties(n),"MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN g, o, r, c LIMIT 10","cypher
MATCH (g:Gene {id: ""ath:AT1G01040""})-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN g.position, g.name, g.link, g.species, g.id, g.symbol, fu.type, fu.name
LIMIT 10;
",I don't know the answer.
Phase 1,Direct Entity Lookup,Show all properties of pathway path:gmx00061,1.0,MATCH (n:Pathway {id: 'path:gmx00061'}) RETURN properties(n),MATCH (p:Pathway { id: 'path:gmx00061' }) RETURN p LIMIT 20,"
MATCH (p:Pathway {id: 'gmx00061'})-[*1..3]-(r)
RETURN p, r
LIMIT 10
",I don't know the answer.
Phase 1,Direct Entity Lookup,Get information about compound C06157,1.0,MATCH (n:Compound {id: 'C06157'}) RETURN properties(n),"MATCH (c:Compound {id: 'C06157'})-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction)-[:CATALYZES]->(e:EC) 
WHERE e.id = '2.7.7.14' OR e.id = '2.3.1.39'
RETURN c, r, e LIMIT 10","
MATCH (c:Compound {id: 'C06157'})-[:SUBSTRATE_OF*1..3]-(r:Reaction)-[:PRODUCES]->(p:Compound)
RETURN c, r, p
LIMIT 10;
",I don't know the answer.
Phase 1,Direct Entity Lookup,Display properties of enzyme EC:4.2.1.59,1.0,MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n),"MATCH (e:EC {id: '4.2.1.59'})-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN e, r, c LIMIT 10","
MATCH (e:EC {id: '4.2.1.59'})-[:CATALYZES*1..3]->(r:Reaction)
RETURN e, r
LIMIT 10;
","The enzyme with the identifier EC:4.2.1.59 has the following properties:

- Name: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase
- Synonyms: fabZ (gene name), fabA (gene name), D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase, D-3-hydroxyoctanoyl-acyl carrier protein dehydratase, beta-hydroxyoctanoyl-acyl carrier protein dehydrase, beta-hydroxyoctanoyl thioester dehydratase, beta-hydroxyoctanoyl-ACP-dehydrase, (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase, (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase (oct-2-enoyl-[acyl-carrier protein]-forming), 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase
- Systematic name: (3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (trans-2-enoyl-[acyl-carrier protein]-forming)
- Link to external resource: https://rest.kegg.jp/get/4.2.1.59"
Phase 1,Direct Entity Lookup,What information is stored for reaction R00200?,1.0,MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n),"MATCH (r:Reaction {id: 'R00200'})-[:CATALYZES|SUBSTRATE_OF*0..1]->(ec:EC)-[:CATALYZES]->(r2:Reaction), 
      (c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)
RETURN r, ec, c LIMIT 10","cypher
MATCH (r:Reaction {id: 'R00200'})-[:CATALYZES*1..3]-(ec:EC)-[:ENCODES]->(g:Gene)
OPTIONAL MATCH (o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:CONTAINS]-(p:Pathway)
RETURN r, ec, g, o, fu, p
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What enzymes does gene ath:AT1G01050 encode?,1.0,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN e.id LIMIT 10,"
MATCH (g:Gene {name: ""ath:AT1G01050""})-[:ENCODES*1..3]->(e:EC)
RETURN e.name, e.id
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are encoded by gene ats:109733199?,1.0,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(ec:EC) RETURN ec.id LIMIT 10,"
MATCH (g:Gene {id: ""ats:109733199""})-[:ENCODES*1..3]->(ec:EC)
RETURN ec.id
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Show enzymes for gene ats:109761713,1.0,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e.id AS enzyme_id,"
MATCH (g:Gene {id: ""ats:109761713""})-[:ENCODES*1..3]->(ec:EC)
RETURN ec.name, ec.sysname, ec.link
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What does gene ath:AT1G54220 encode?,1.0,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e.id LIMIT 10,"
MATCH (g:Gene {name: ""ath:AT1G54220""})-[:ENCODES*1..3]->(ec:EC)
RETURN g, ec
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,List enzyme functions of gene ath:AT2G06990,1.0,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(e:EC) RETURN e,"MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(ec:EC)-[:HAS_ENZYME_FUNCTION]->(f)
RETURN f.id AS enzyme_function_id, f.name AS enzyme_function_name
LIMIT 10","
MATCH (g:Gene {name: ""ath:AT2G06990""})-[:ENCODES*1..3]->(ec:EC)
OPTIONAL MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec)
RETURN ec.name, o.symbol
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get EC numbers for gene ath:AT5G61540,1.0,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(ec:EC) RETURN ec.id LIMIT 10,"
MATCH (g:Gene {name: ""ath:AT5G61540""})-[:ENCODES*1..3]->(ec:EC)
RETURN ec.id AS ec_number
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which ortholog group does gene gmx:100217331 belong to?,1.0,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o.id AS ortholog_id LIMIT 10,"
MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o.symbol, o.name
LIMIT 10;
",I don't know the answer.
