Result,Reason (Match Type),Counts (Bot / GT),Missing IDs (Example),Extra IDs (Example),Question,Bot Query,Truth Query
✅ Correct,Empty Match,0 / 0,-,-,What are the properties of gene ath:AT1G01040?,MATCH (n:Gene {id: 'ath:AT1G01040'}) RETURN properties(n),MATCH (n:Gene {id: 'ath:AT1G01040'}) RETURN properties(n)
✅ Correct,Full Match,1 / 1,-,-,Show all properties of pathway path:gmx00061,MATCH (n:Pathway {id: 'path:gmx00061'}) RETURN properties(n),MATCH (n:Pathway {id: 'path:gmx00061'}) RETURN properties(n)
✅ Correct,Full Match,1 / 1,-,-,Get information about compound C06157,MATCH (n:Compound {id: 'C06157'}) RETURN properties(n),MATCH (n:Compound {id: 'C06157'}) RETURN properties(n)
✅ Correct,Empty Match,0 / 0,-,-,Display properties of enzyme EC:4.2.1.59,MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n),MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n)
✅ Correct,Empty Match,0 / 0,-,-,What information is stored for reaction R00200?,MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n),MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n)
✅ Correct,Full Match,1 / 1,-,-,What enzymes does gene ath:AT1G01050 encode?,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,Which EC numbers are encoded by gene ats:109733199?,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,Show enzymes for gene ats:109761713,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,What does gene ath:AT1G54220 encode?,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,List enzyme functions of gene ath:AT2G06990,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,Get EC numbers for gene ath:AT5G61540,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Which ortholog group does gene gmx:100217331 belong to?,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Empty Match,0 / 0,-,-,Show ortholog for gene ats:109745953,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Full Match,1 / 1,-,-,What ortholog contains gene gmx:100037478?,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Empty Match,0 / 0,-,-,Find ortholog group of gene ath:AT1G01040,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Full Match,1 / 1,-,-,Get ortholog for gene ath:AT1G01050,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Empty Match,0 / 0,-,-,Which KO group includes gene K10246?,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
✅ Correct,Full Match,1 / 1,-,-,Which reactions use compound C06000 as substrate?,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,What reactions consume compound C00164?,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Show reactions where C06000 is a substrate,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Find reactions that use compound C08813,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Get reactions with C06000 as input,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Which reactions require compound C03069?,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,What reactions does EC:1.14.13.1 catalyze?,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Which reactions are catalyzed by enzyme EC:1.14.13.1?,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Show reactions for enzyme EC:1.3.1.9,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Find reactions that EC:1.14.13.1 catalyzes,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Get reactions catalyzed by EC:6.2.1.3,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Which reactions does enzyme EC:2.1.1.369 perform?,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,What reactions does ortholog R10826 catalyze?,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Full Match,10 / 10,-,-,Which reactions are performed by KO K09458?,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Show reactions catalyzed by ortholog R03777,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Full Match,10 / 10,-,-,Find reactions for ortholog group K00059,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Get reactions that K00059 catalyzes,MATCH (e:EC {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R02814'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Subset Match,10 / 0,-,"['R04536', '(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'R04543']",Which reactions does ortholog K00059 perform?,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R04957'})-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Full Match,1 / 1,-,-,What enzyme functions does ortholog K00059 have?,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,2 / 2,-,-,Which EC numbers are associated with KO K11262?,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Show enzyme functions of ortholog K00249,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Find EC numbers for ortholog K01897,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Subset Match,0 / 1,"['3-oxoacyl-[acyl-carrier-protein] reductase', '1.1.1.100']",-,Get enzyme activities of K00059,MATCH (n:EC {id: 'EC:2.7.7.14'}) RETURN properties(n),MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Which enzymes does ortholog K00059 correspond to?,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Which functional units include gene ats:109733199?,MATCH (g:Gene {id: 'ats:109733199'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,MATCH (n {id: 'ats:109733199'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
