phase,category,question,generated_cypher,answer,if_correct
Phase 1,Direct Entity Lookup,What is gene gmx:100217331?,"MATCH (g:Gene {id: 'gmx:100217331'})
RETURN g;",['gmx:100217331'],1
Phase 1,Direct Entity Lookup,Show me enzyme EC:6.4.1.2,"MATCH (e:EC {id: '6.4.1.2'})
RETURN e;",I don't know the answer.,0
Phase 1,Direct Entity Lookup,Find compound C00141,"MATCH (c:Compound {id: ""C00141""})
RETURN c;",['C00141'],1
Phase 1,Direct Entity Lookup,Get pathway path:ats01040,"MATCH (p:Pathway {id: 'ats01040'})
OPTIONAL MATCH (p)-[:CONTAINS]->(r:Reaction)
OPTIONAL MATCH (p)-[:CONTAINS]->(fu:FunctionalUnit)
OPTIONAL MATCH (p)-[:CONTAINS]->(ec:EC)
RETURN p, collect(r) AS reactions, collect(fu) AS functionalUnits, collect(ec) AS ecs;",I don't know the answer.,0
Phase 1,Direct Entity Lookup,Display reaction R02814,"MATCH (r:Reaction {id: 'R02814'})
RETURN r;",['R02814'],1
Phase 1,Direct Entity Lookup,List all genes,"MATCH (g:Gene)
RETURN g;","['ats:109732741', 'ats:109779197', 'ats:109767527', 'ats:109775477', 'ats:109735074', 'ats:109741796', 'ats:109746620', 'ats:109748080', 'ats:109763601', 'ats:120965235']",1
Phase 1,Direct Entity Lookup,Show me all pathways,"MATCH (p:Pathway)
RETURN p;","['path:ats00061', 'path:ats00062', 'path:ats00071', 'path:ats00100', 'path:ats00280', 'path:ats00310', 'path:ats00511', 'path:ats00561', 'path:ats00564', 'path:ats00565']",1
Phase 1,Direct Entity Lookup,What compounds are in the database?,"MATCH (c:Compound)
RETURN c;","['C05223', 'C00001', 'C00229', 'C02679', 'C16520', 'C08362', 'C05755', 'C01571', 'C05752', 'C06423']",1
Phase 1,Direct Entity Lookup,Get all reactions,"MATCH (r:Reaction)
RETURN r;","['R06870', 'R06871', 'R07444', 'R07449', 'R04014', 'R08162', 'R08158', 'R08157', 'R03370', 'R07765']",1
Phase 1,Direct Entity Lookup,Display all enzymes,"MATCH (e:EC)
RETURN e;","['EC:3.1.3.75', 'EC:3.1.2.14', 'EC:3.1.2.21', 'EC:1.14.19.2', 'EC:1.3.1.9', 'EC:1.3.1.-', 'EC:2.3.1.-', 'EC:4.2.1.-', 'EC:2.3.1.41', 'EC:2.3.1.179']",1
Phase 1,Direct Entity Lookup,How many genes are there?,"MATCH (g:Gene)
RETURN count(g) AS geneCount;",1910 genes.,1
Phase 1,Direct Entity Lookup,Count the number of pathways,"MATCH (p:Pathway)
RETURN count(p) AS pathwayCount",100 pathways.,1
Phase 1,Direct Entity Lookup,How many reactions exist?,"MATCH (r:Reaction)
RETURN count(r) AS reactionCount;",484 reactions.,1
Phase 1,Direct Entity Lookup,What's the total number of compounds?,"MATCH (c:Compound)
RETURN count(c) AS total_compounds;",The total number of compounds is 492.,1
