PMID,Title,Abstract,DOI,is_plant_research,plant_confidence,is_lipid_relevant,lipid_confidence,plant_species,lipid_topics,classification_result,raw_response,parse_status,category_id,category_name
29025408,Synteny analysis of genes and distribution of loci controlling oil content and fatty acid profile based on QTL alignment map in Brassica napus.,"Deciphering the genetic architecture of a species is a good way to understand its evolutionary history, but also to tailor its profile for breeding elite cultivars with desirable traits. Aligning QTLs from diverse population in one map and utilizing it for comparison, but also as a basis for multiple analyses assure a stronger evidence to understand the genetic system related to a given phenotype. In this study, 439 genes involved in fatty acid (FA) and triacylglycerol (TAG) biosyntheses were identified in Brassica napus. B. napus genome showed mixed gene loss and insertion compared to B. rapa and B. oleracea, and C genome had more inserted genes. Identified QTLs for oil (OC-QTLs) and fatty acids (FA-QTLs) from nine reported populations were projected on the physical map of the reference genome ""Darmor-bzh"" to generate a map. Thus, 335 FA-QTLs and OC-QTLs could be highlighted and 82 QTLs were overlapping. Chromosome C3 contained 22 overlapping QTLs with all trait studied except for C18:3. In total, 218 candidate genes which were potentially involved in FA and TAG were identified in 162 QTLs confidence intervals and some of them might affect many traits. Also, 76 among these candidate genes were found inside 57 overlapping QTLs, and candidate genes for oil content were in majority (61/76 genes). Then, sixteen genes were found in overlapping QTLs involving three populations, and the remaining 60 genes were found in overlapping QTLs of two populations. Interaction network and pathway analysis of these candidate genes indicated ten genes that might have strong influence over the other genes that control fatty acids and oil formation. The present results provided new information for genetic basis of FA and TAG formation in B. napus. A map including QTLs from numerous populations was built, which could serve as reference to study the genome profile of B. napus, and new potential genes emerged which might affect seed oil. New useful tracks were showed for the selection of population or/and selection of interesting genes for breeding improvement purpose.",10.1186/s12864-017-4176-6,True,high,True,high,"[""Brassica napus""]","[""fatty acid biosynthesis"", ""triacylglycerol synthesis"", ""QTL mapping for oil content""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Brassica napus""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""In this study, 439 genes involved in fatty acid (FA) and triacylglycerol (TAG) biosyntheses were identified in Brassica napus."", ""Interaction network and pathway analysis of these candidate genes indicated ten genes that might have strong influence over the other genes that control fatty acids and oil formation.""], ""explanation"": ""The paper explicitly identifies genes linked to fatty acid and triacylglycerol biosynthesis, maps quantitative trait loci for oil content and fatty acids, and analyzes pathways affecting lipid production, demonstrating a clear focus on lipid-related processes."", ""specific_topics"": [""fatty acid biosynthesis"", ""triacylglycerol synthesis"", ""QTL mapping for oil content""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
29425344,DEWAX2 Transcription Factor Negatively Regulates Cuticular Wax Biosynthesis in Arabidopsis Leaves.,"The aerial parts of terrestrial plants are covered with hydrophobic wax layers, which represent the primary barrier between plant cells and the environment and act to protect plants from abiotic and biotic stresses. Although total wax loads are precisely regulated in an environmental- or organ-specific manner, regulatory mechanisms underlying cuticular wax biosynthesis remain largely unknown. In this study, we characterized DEWAX2 (DECREASE WAX BIOSYNTHESIS2) which encodes an APETALA 2 (AP2)/ethylene response element-binding factor (ERF)-type transcription factor and is predominantly expressed in young seedlings, and rosette and cauline leaves. Total wax loads increased by approximately 12% and 16% in rosette and cauline leaves of dewax2, respectively, but were not significantly altered in the stems of dewax2 relative to the wild type (WT). The excess wax phenotype of dewax2 leaves was rescued upon expression of DEWAX2 driven by its own promoter. Overexpression of DEWAX2 decreased total wax loads by approximately 15% and 26% in the stems and rosette leaves compared with those of the WT, respectively. DEWAX2:eYFP (enhanced yellow fluorescent protein) was localized to the nucleus in Arabidopsis roots and hypocotyls. DEWAX2 possessed transcriptional repression activity in tobacco protoplasts. Transcriptome and quantitative real-time PCR analyses showed that the transcript levels of CER1, ACLA2, LACS1, LACS2 and KCS12 were down-regulated in DEWAX2 overexpression lines compared with the WT. Transient transcriptional assays showed that DEWAX2 represses the expression of its putative target genes. Quantitative chromatin immunoprecipitation-PCR revealed that DEWAX2 binds directly to the GCC motifs of the LACS1, LACS2, KCS12 and CER1 promoters. These results suggest that DEWAX2-mediated transcriptional repression may contribute to the total wax load in Arabidopsis leaves.",10.1093/pcp/pcy033,True,high,True,high,"[""Arabidopsis thaliana""]","[""cuticular wax biosynthesis"", ""fatty acid elongation"", ""lipid metabolism""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Arabidopsis thaliana""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""The aerial parts of terrestrial plants are covered with hydrophobic wax layers, which represent the primary barrier between plant cells and the environment and act to protect plants from abiotic and biotic stresses."", ""Transcriptome and quantitative real-time PCR analyses showed that the transcript levels of CER1, ACLA2, LACS1, LACS2 and KCS12 were down-regulated in DEWAX2 overexpression lines compared with the WT.""], ""explanation"": ""Cuticular waxes are complex lipids derived from very-long-chain fatty acids. Genes such as CER1, LACS1, LACS2, and KCS12 encode enzymes involved in fatty acid elongation and alkane formation, key steps in lipid metabolism. Therefore, the study directly addresses lipid biosynthetic pathways."", ""specific_topics"": [""cuticular wax biosynthesis"", ""fatty acid elongation"", ""lipid metabolism""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
11807123,Role of ethylene in the biosynthetic pathway of aliphatic ester aroma volatiles in Charentais Cantaloupe melons.,"Compared to other melon types, Cantaloupe Charentais melons are highly aromatic with a major contribution to the aroma being made by aliphatic and branched esters. Using a transgenic line in which the synthesis of the plant hormone ethylene has been considerably lowered by antisense ACC oxidase mRNA (AS), the aliphatic ester pathway steps at which ethylene exerts its regulatory role were found. The data show that the production of aliphatic esters such as hexyl and butyl acetate was blocked in AS fruit and could be reversed by ethylene. Using fruit discs incubated in the presence of various precursors, the steps at which ester formation was inhibited in AS fruit was shown to be the reduction of fatty acids and aldehydes, the last step of acetyl transfer to alcohols being unaffected. However, treating AS fruit with the ethylene antagonist 1-methylcyclopropene resulted in about 50% inhibition of acetyl transfer activity, indicating that this portion of activity was ethylene-dependent and this was supported by the low residual ethylene concentration of AS fruit discs (around 2 microl l(-1)). In conclusion, the reduction of fatty acids and aldehydes appears essentially to be ethylene-dependent, whilst the last step of alcohol acetylation has ethylene-dependent and ethylene-independent components, probably corresponding to differentially regulated alcohol acetyltransferases.",10.1093/jexbot/53.367.201,True,high,True,high,"[""Cucumis melo""]","[""fatty acid reduction"", ""ester biosynthesis"", ""ethylene regulation""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Cucumis melo""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Using fruit discs incubated in the presence of various precursors, the steps at which ester formation was inhibited in AS fruit was shown to be the reduction of fatty acids and aldehydes, the last step of acetyl transfer to alcohols being unaffected."", ""The data show that the production of aliphatic esters such as hexyl and butyl acetate was blocked in AS fruit and could be reversed by ethylene.""], ""explanation"": ""The study examines how ethylene influences the conversion of fatty acids into aliphatic esters in melon fruit, directly implicating fatty acid metabolism and lipid-related enzymatic pathways in aroma compound biosynthesis."", ""specific_topics"": [""fatty acid reduction"", ""ester biosynthesis"", ""ethylene regulation""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
24119222,Bottlenecks in erucic acid accumulation in genetically engineered ultrahigh erucic acid Crambe abyssinica.,"Erucic acid is a valuable industrial fatty acid with many applications. The main producers of this acid are today high erucic rapeseed (Brassica napus) and mustard (Brassica juncea), which have 45%-50% of erucic acid in their seed oils. Crambe abyssinica is an alternative promising producer of this acid as it has 55%-60% of erucic acid in its oil. Through genetic modification (GM) of three genes, we have previously increased the level of erucic acid to 71% (68 mol%) in Crambe seed oil. In this study, we further investigated different aspects of oil biosynthesis in the developing GM Crambe seeds in comparison with wild-type (Wt) Crambe, rapeseed and safflower (Carthamus tinctorius). We show that Crambe seeds have very low phosphatidylcholine-diacylglycerol interconversion, suggesting it to be the main reason why erucic acid is limited in the membrane lipids during oil biosynthesis. We further show that GM Crambe seeds have slower seed development than Wt, accompanied by slower oil accumulation during the first 20 days after flowering (DAF). Despite low accumulation of erucic acid during early stages of GM seed development, nearly 86 mol% of all fatty acids accumulated between 27 and 50 DAF was erucic acid, when 40% of the total oil is laid down. Likely bottlenecks in the accumulation of erucic acid during early stages of GM Crambe seed development are discussed.",10.1111/pbi.12128,True,high,True,high,"[""Crambe abyssinica""]","[""erucic acid accumulation"", ""phosphatidylcholine\u2011diacylglycerol interconversion"", ""oil biosynthesis in seeds""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Crambe abyssinica""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Erucic acid is a valuable industrial fatty acid with many applications."", ""We show that Crambe seeds have very low phosphatidylcholine\u2011diacylglycerol interconversion, suggesting it to be the main reason why erucic acid is limited in the membrane lipids during oil biosynthesis.""], ""explanation"": ""The manuscript investigates the synthesis and accumulation of erucic acid, a long-chain fatty acid, in genetically modified Crambe abyssinica seeds, including analyses of lipid intermediates and developmental dynamics of oil biosynthesis."", ""specific_topics"": [""erucic acid accumulation"", ""phosphatidylcholine\u2011diacylglycerol interconversion"", ""oil biosynthesis in seeds""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
9247548,Cuphea wrightii thioesterases have unexpected broad specificities on saturated fatty acids.,"Cuphea wrightii A. Gray is an herbaceous annual that accumulates 30% caprate (10:0) and 54% laurate (12:0) in seed storage lipids. We investigated the role of acyl-acyl carrier protein (ACP) thioesterases (TE) in acyl chain-length regulation in C. wrightii. Two embryo-derived cDNAs, encoding the TEs Cw FatB1 and Cw FatB2, were isolated. Both proteins were detected in developing embryos and mature seeds but not in other tissues, suggesting involvement in seed oil synthesis. Although expected to be 10:0/12:0-ACP-specific, these genes produced a broad range of fatty acids (12:0, 14:0, and 16:0) in transgenic Arabidopsis with the greatest accumulation at 14:0. Cw FatB2 transformants also accumulated small amounts of 10:0. Because C. wrightii accumulates only ca. 5% 14:0 and ca. 2% 16:0, we tested the possibility that gene dosage effects might significantly alter the overall kinetics of the pathway. Phenotypic comparisons of progeny segregating for the transgenes individually and in a hybrid population demonstrated that increased enzyme pools in vivo had a minor effect on diverting fatty acid production to shorter chains. We propose that Cw FatB1 and Cw FatB2 may be necessary but not sufficient determinants of the C. wrightii phenotype.",10.1023/a:1005846830784,True,high,True,high,"[""Cuphea wrightii""]","[""fatty acid biosynthesis"", ""thioesterase activity"", ""seed oil composition""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Cuphea wrightii""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Cuphea wrightii A. Gray is an herbaceous annual that accumulates 30% caprate (10:0) and 54% laurate (12:0) in seed storage lipids."", ""Although expected to be 10:0/12:0-ACP-specific, these genes produced a broad range of fatty acids (12:0, 14:0, and 16:0) in transgenic Arabidopsis with the greatest accumulation at 14:0.""], ""explanation"": ""The study focuses on thioesterase enzymes that regulate fatty acid chain length in seed oils, directly addressing lipid biosynthesis pathways."", ""specific_topics"": [""fatty acid biosynthesis"", ""thioesterase activity"", ""seed oil composition""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
10899973,The arabidopsis DELAYED DEHISCENCE1 gene encodes an enzyme in the jasmonic acid synthesis pathway.,"delayed dehiscence1 is an Arabidopsis T-DNA mutant in which anthers release pollen grains too late for pollination to occur. The delayed dehiscence1 defect is caused by a delay in the stomium degeneration program. The gene disrupted in delayed dehiscence1 encodes 12-oxophytodienoate reductase, an enzyme in the jasmonic acid biosynthesis pathway. We rescued the mutant phenotype by exogenous application of jasmonic acid and obtained seed set from previously male-sterile plants. In situ hybridization studies showed that during the early stages of floral development, DELAYED DEHISCENCE1 mRNA accumulated within all floral organs. Later, DELAYED DEHISCENCE1 mRNA accumulated specifically within the pistil, petals, and stamen filaments. DELAYED DEHISCENCE1 mRNA was not detected in the stomium and septum cells of the anther that are involved in pollen release. The T-DNA insertion in delayed dehiscence1 eliminated both DELAYED DEHISCENCE1 mRNA accumulation and 12-oxophytodienoate reductase activity. These experiments suggest that jasmonic acid signaling plays a role in controlling the time of anther dehiscence within the flower.",10.1105/tpc.12.7.1041,True,high,True,high,"[""Arabidopsis thaliana""]","[""jasmonic acid biosynthesis"", ""12\u2011oxophytodienoate reductase"", ""lipid\u2011derived signaling""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Arabidopsis thaliana""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""The gene disrupted in delayed dehiscence1 encodes 12\u2011oxophytodienoate reductase, an enzyme in the jasmonic acid biosynthesis pathway."", ""We rescued the mutant phenotype by exogenous application of jasmonic acid and obtained seed set from previously male\u2011sterile plants.""], ""explanation"": ""Jasmonic acid is a lipid\u2011derived phytohormone produced via oxidation of linolenic acid; the study characterizes an enzyme (12\u2011oxophytodienoate reductase) directly involved in its biosynthetic pathway, thereby investigating a key lipid metabolic process."", ""specific_topics"": [""jasmonic acid biosynthesis"", ""12\u2011oxophytodienoate reductase"", ""lipid\u2011derived signaling""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
18544608,The Arabidopsis cytochrome P450 CYP86A1 encodes a fatty acid omega-hydroxylase involved in suberin monomer biosynthesis.,"The lipophilic biopolyester suberin forms important boundaries to protect the plant from its surrounding environment or to separate different tissues within the plant. In roots, suberin can be found in the cell walls of the endodermis and the hypodermis or periderm. Apoplastic barriers composed of suberin accomplish the challenge to restrict water and nutrient loss and prevent the invasion of pathogens. Despite the physiological importance of suberin and the knowledge of the suberin composition of many plants, very little is known about its biosynthesis and the genes involved. Here, a detailed analysis of the Arabidopsis aliphatic suberin in roots at different developmental stages is presented. This study demonstrates some variability in suberin amount and composition along the root axis and indicates the importance of omega-hydroxylation for suberin biosynthesis. Using reverse genetics, the cytochrome P450 fatty acid omega-hydroxylase CYP86A1 (At5g58860) has been identified as a key enzyme for aliphatic root suberin biosynthesis in Arabidopsis. The corresponding horst mutants show a substantial reduction in omega-hydroxyacids with a chain length <C(20), demonstrating that CYP86A1 functions as a hydroxylase of root suberized tissue. Detailed expression studies revealed a strong root specificity and a localized expression in the root endodermis. Transgenic expression of CYP86A1 fused to GFP distributed CYP86A1 to the endoplasmic reticulum, indicating that suberin monomer biosynthesis takes place in this sub-cellular compartment before intermediates are exported in the apoplast.",10.1093/jxb/ern101,True,high,True,high,"[""Arabidopsis thaliana""]","[""omega-hydroxylation"", ""suberin biosynthesis"", ""cytochrome P450 enzymes""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Arabidopsis thaliana""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Using reverse genetics, the cytochrome P450 fatty acid omega-hydroxylase CYP86A1 (At5g58860) has been identified as a key enzyme for aliphatic root suberin biosynthesis in Arabidopsis."", ""The corresponding horst mutants show a substantial reduction in omega-hydroxyacids with a chain length <C(20), demonstrating that CYP86A1 functions as a hydroxylase of root suberized tissue.""], ""explanation"": ""The study focuses on the enzymatic conversion of fatty acids via omega\u2011hydroxylation, a key step in the synthesis of suberin monomers, thereby directly investigating lipid metabolism processes."", ""specific_topics"": [""omega-hydroxylation"", ""suberin biosynthesis"", ""cytochrome P450 enzymes""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
19700560,CYP704B1 is a long-chain fatty acid omega-hydroxylase essential for sporopollenin synthesis in pollen of Arabidopsis.,"Sporopollenin is the major component of the outer pollen wall (exine). Fatty acid derivatives and phenolics are thought to be its monomeric building blocks, but the precise structure, biosynthetic route, and genetics of sporopollenin are poorly understood. Based on a phenotypic mutant screen in Arabidopsis (Arabidopsis thaliana), we identified a cytochrome P450, designated CYP704B1, as being essential for exine development. CYP704B1 is expressed in the developing anthers. Mutations in CYP704B1 result in impaired pollen walls that lack a normal exine layer and exhibit a characteristic striped surface, termed zebra phenotype. Heterologous expression of CYP704B1 in yeast cells demonstrated that it catalyzes omega-hydroxylation of long-chain fatty acids, implicating these molecules in sporopollenin synthesis. Recently, an anther-specific cytochrome P450, denoted CYP703A2, that catalyzes in-chain hydroxylation of lauric acid was also shown to be involved in sporopollenin synthesis. This shows that different classes of hydroxylated fatty acids serve as essential compounds for sporopollenin formation. The genetic relationships between CYP704B1, CYP703A2, and another exine gene, MALE STERILITY2, which encodes a fatty acyl reductase, were explored. Mutations in all three genes resulted in pollen with remarkably similar zebra phenotypes, distinct from those of other known exine mutants. The double and triple mutant combinations did not result in the appearance of novel phenotypes or enhancement of single mutant phenotypes. This implies that each of the three genes is required to provide an indispensable subset of fatty acid-derived components within the sporopollenin biosynthesis framework.",10.1104/pp.109.144469,True,high,True,high,"[""Arabidopsis thaliana""]","[""omega\u2011hydroxylation"", ""long\u2011chain fatty acids"", ""lipid metabolism"", ""sporopollenin synthesis""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Arabidopsis thaliana""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Heterologous expression of CYP704B1 in yeast cells demonstrated that it catalyzes omega-hydroxylation of long-chain fatty acids, implicating these molecules in sporopollenin synthesis."", ""Recently, an anther\u2011specific cytochrome P450, denoted CYP703A2, that catalyzes in\u2011chain hydroxylation of lauric acid was also shown to be involved in sporopollenin synthesis.""], ""explanation"": ""The study identifies cytochrome P450 enzymes that perform specific hydroxylation reactions on long\u2011chain fatty acids, directly linking fatty acid chemistry to the biosynthesis of sporopollenin, a key structural component of pollen walls."", ""specific_topics"": [""omega\u2011hydroxylation"", ""long\u2011chain fatty acids"", ""lipid metabolism"", ""sporopollenin synthesis""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
12951498,"MpFAE3, a beta-ketoacyl-CoA synthase gene in the liverwort Marchantia polymorpha L., is preferentially involved in elongation of palmitic acid to stearic acid.","Fatty acid chain elongation is a crucial step in the biosynthesis of long chain fatty acids. An essential reaction in the elongation process is condensation of malonyl-CoA with acyl-CoA, which is catalyzed by beta-ketoacyl-CoA synthase (KCS) in plants. We have isolated and characterized the MpFAE3 gene, one of the KCS gene family in the liverwort Marchantia polymorpha. Transgenic M. polymorpha plants overexpressing MpFAE3 accumulate fatty acids 18:0, 20:0, and 22:0. In these plants, the amount of 16:0 is reduced to 50% of wild type. In a heterologous assay, transgenic methylotrophic yeast expressing the MpFAE3 gene accumulates fatty acid 18:0 and generates several longer fatty acids which are not detectable in the control, accompanied by a decrease of 16:0. These observations indicate that the MpFAE3 protein is preferentially involved in the elongation of 16:0 to 18:0 and also in the subsequent steps of 18:0 to 20:0 and 20:0 to 22:0 in M. polymorpha.",10.1271/bbb.67.1667,True,high,True,high,"[""Marchantia polymorpha""]","[""fatty acid synthesis"", ""lipid metabolism"", ""beta\u2011ketoacyl\u2011CoA synthase activity"", ""fatty acid chain elongation""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Marchantia polymorpha""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""Transgenic M. polymorpha plants overexpressing MpFAE3 accumulate fatty acids 18:0, 20:0, and 22:0."", ""In a heterologous assay, transgenic methylotrophic yeast expressing the MpFAE3 gene accumulates fatty acid 18:0 and generates several longer fatty acids which are not detectable in the control, accompanied by a decrease of 16:0.""], ""explanation"": ""The study characterizes a beta\u2011ketoacyl\u2011CoA synthase (MpFAE3) that specifically elongates saturated fatty acids, demonstrating changes in fatty acid profiles upon overexpression and heterologous expression, thereby directly investigating fatty acid synthesis and lipid metabolism."", ""specific_topics"": [""fatty acid synthesis"", ""lipid metabolism"", ""beta\u2011ketoacyl\u2011CoA synthase activity"", ""fatty acid chain elongation""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
19463193,Breeding response of transcript profiling in developing seeds of Brassica napus.,"The upgrading of rapeseed cultivars has resulted in a substantial improvement in yield and quality in China over the past 30 years. With the selective pressure against fatty acid composition and oil content, high erucic acid- and low oil-content cultivars have been replaced by low erucic acid- and high oil-content cultivars. The high erucic acid cultivar Zhongyou 821 and its descendent, low erucic acid cultivar Zhongshuang 9, are representatives of two generations of the most outstanding Chinese rapeseed cultivars (B. napus) developed the past 2 decades. This paper compares the transcriptional profiles of Zhongshuang 9 and Zhongyou 821 for 32 genes that are principally involved in lipid biosynthesis during seed development in order to elucidate how the transcriptional profiles of these genes responded to quality improvement over the past 20 years. Comparison of the cultivar Zhongyou 821 with its descendent, Zhongshuang 9, shows that the transcriptional levels of seven of the 32 genes were upregulated by 30% to 109%, including FAD3, ACCase, FAE1, GKTP, Caleosin, GAPDH, and PEPC. Of the 32 genes, 10 (KAS3, beta-CT, BcRK6, P450, FatA, Oleosin, FAD6, FatB, alpha-CT and SUC1) were downregulated by at least 20% and most by 50%. The Napin gene alone accounted for over 75% of total transcription from all 32 genes assessed in both cultivars. Most of the genes showed significant correlation with fatty acid accumulation, but the correlation in ZS9 was significantly different from that in ZY821. Higher KCR2 activity is associated with higher C16:0, C18:0, and C18:2 in both cultivars, lower C22:1 and total fatty acid content in ZY821, and lower 18:1 in ZS9. This paper illustrates the response of the transcription levels of 32 genes to breeding in developing rapeseed seeds. Both cultivars showed similar transcription profiles, with the Napin gene predominantly transcribed. Selective pressure for zero erucic acid, low glucosinolate, high oleic acid and high oil content, as well as high yield, resulted in higher FAD3, ACCase, FAE1, GKTP, Caleosin, GAPDH, and PEPC expression levels and lower KAS3, beta-CT, BcRK6, P450, FatA, Oleosin, FAD6, FatB, alpha-CT and SUC1 expression levels. It also resulted in altered relationships between these genes during storage accumulation in seed development.",10.1186/1471-2199-10-49,True,high,True,high,"[""Brassica napus""]","[""fatty acid biosynthesis"", ""lipid metabolism"", ""seed oil composition""]","{""task1_plant_research"": {""is_plant"": true, ""plant_species"": [""Brassica napus""], ""confidence"": ""high""}, ""task2_lipid_relevance"": {""is_relevant"": true, ""evidence_sentences"": [""With the selective pressure against fatty acid composition and oil content, high erucic acid- and low oil-content cultivars have been replaced by low erucic acid- and high oil-content cultivars."", ""Most of the genes showed significant correlation with fatty acid accumulation, but the correlation in ZS9 was significantly different from that in ZY821.""], ""explanation"": ""The manuscript examines transcriptional changes of genes directly involved in lipid biosynthesis and their impact on fatty acid composition in rapeseed seeds, indicating a clear focus on lipid-related processes."", ""specific_topics"": [""fatty acid biosynthesis"", ""lipid metabolism"", ""seed oil composition""], ""confidence"": ""high""}}",1: Fatty Acid Biosynthesis Pathways,success,1.0,Fatty Acid Biosynthesis Pathways
