pmid,question_type,question,answer,entities_used,difficulty,topic,category_id,category_name,title,abstract_word_count
18544608,factual,Within which subcellular compartment does the CYP86A1 enzyme function to facilitate the synthesis of suberin monomers in Arabidopsis roots?,"The CYP86A1 enzyme is localized to the endoplasmic reticulum, which is where the biosynthesis of suberin building blocks occurs before they are transported to the apoplast.","CYP86A1, suberin monomer, endoplasmic reticulum",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,The Arabidopsis cytochrome P450 CYP86A1 encodes a fatty acid omega-hydroxylase involved in suberin monomer biosynthesis.,226
18544608,numerical,"In the 'horst' mutants lacking functional CYP86A1, what specific change was observed regarding the composition of omega-hydroxyacids?",The 'horst' mutants displayed a significant reduction in the amount of omega-hydroxyacids that possessed a carbon chain length shorter than 20 carbons.,"horst mutants, CYP86A1, omega-hydroxyacids, C(20)",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,The Arabidopsis cytochrome P450 CYP86A1 encodes a fatty acid omega-hydroxylase involved in suberin monomer biosynthesis.,226
19700560,factual,"What is the specific catalytic function of the CYP704B1 enzyme, and what is its critical contribution to the synthesis of the pollen exine?","The CYP704B1 enzyme catalyzes the omega-hydroxylation of long-chain fatty acids, a process that is indispensable for the proper development of the exine, the outer layer of the pollen wall.","CYP704B1, long-chain fatty acids, omega-hydroxylation, exine",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,CYP704B1 is a long-chain fatty acid omega-hydroxylase essential for sporopollenin synthesis in pollen of Arabidopsis.,237
19700560,numerical,"What was the observed phenotypic outcome when mutations in CYP704B1, CYP703A2, and MALE STERILITY2 were combined into double and triple mutant plants?","The creation of double and triple mutant combinations involving CYP704B1, CYP703A2, and MALE STERILITY2 did not lead to any new observable traits or an intensification of the single mutant phenotypes, indicating that all three genes are individually essential for providing distinct components for sporopollenin synthesis.","CYP704B1, CYP703A2, MALE STERILITY2, double mutants, triple mutants",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,CYP704B1 is a long-chain fatty acid omega-hydroxylase essential for sporopollenin synthesis in pollen of Arabidopsis.,237
12951498,factual,"What is the principal catalytic function of the MpFAE3 protein, a beta-ketoacyl-CoA synthase, regarding the modification of fatty acid chain length in the liverwort Marchantia polymorpha?","The MpFAE3 protein is primarily involved in the chain extension of palmitic acid (16:0) to form stearic acid (18:0), and it also contributes to subsequent elongation steps creating longer fatty acids.","MpFAE3, beta-ketoacyl-CoA synthase, palmitic acid, stearic acid, Marchantia polymorpha",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"MpFAE3, a beta-ketoacyl-CoA synthase gene in the liverwort Marchantia polymorpha L., is preferentially involved in elongation of palmitic acid to stearic acid.",152
12951498,numerical,"What quantitative change was observed in the levels of palmitic acid (16:0) in Marchantia polymorpha plants that were genetically engineered to overexpress the MpFAE3 gene, compared to their wild-type counterparts?","In transgenic Marchantia polymorpha plants with elevated MpFAE3 expression, the concentration of palmitic acid (16:0) was reduced to 50% of the level found in wild-type plants.","MpFAE3, palmitic acid, Marchantia polymorpha, overexpression",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"MpFAE3, a beta-ketoacyl-CoA synthase gene in the liverwort Marchantia polymorpha L., is preferentially involved in elongation of palmitic acid to stearic acid.",152
24119222,factual,What was the primary reason proposed for the limited presence of erucic acid in the membrane lipids of Crambe abyssinica during oil synthesis?,The study suggests that the main cause for the restricted amount of erucic acid in membrane lipids is the very low rate of interconversion between phosphatidylcholine and diacylglycerol in Crambe seeds.,"Crambe abyssinica, erucic acid, phosphatidylcholine-diacylglycerol interconversion",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Bottlenecks in erucic acid accumulation in genetically engineered ultrahigh erucic acid Crambe abyssinica.,221
24119222,numerical,"In the genetically modified Crambe seeds, what molar percentage of the fatty acids accumulated during the late developmental stage (27 to 50 days after flowering) was erucic acid?","During the developmental period from 27 to 50 days after flowering, nearly 86 mol% of all fatty acids accumulated in the genetically modified Crambe seeds was erucic acid.","Genetically modified Crambe, erucic acid, seed development",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Bottlenecks in erucic acid accumulation in genetically engineered ultrahigh erucic acid Crambe abyssinica.,221
29425344,factual,"What is the identified role of the DEWAX2 protein regarding wax production, and in which cellular compartment was it observed to be located?","DEWAX2 acts as a transcriptional repressor that negatively regulates the biosynthesis of cuticular wax, and it was found to be localized in the nucleus.","DEWAX2, cuticular wax, nucleus",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,DEWAX2 Transcription Factor Negatively Regulates Cuticular Wax Biosynthesis in Arabidopsis Leaves.,266
29425344,numerical,What were the approximate percentage increases in total wax content in the rosette and cauline leaves of the dewax2 mutant compared to the wild type?,The total wax loads in the dewax2 mutant increased by approximately 12% in rosette leaves and 16% in cauline leaves relative to the wild type.,"dewax2, wild type, rosette leaves, cauline leaves, wax loads",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,DEWAX2 Transcription Factor Negatively Regulates Cuticular Wax Biosynthesis in Arabidopsis Leaves.,266
