phase,category,question,template_id,generated_cypher,answer,if_correct
Phase 1,Direct Entity Lookup,What is gene gmx:100217331?,T001,MATCH (n:Gene {id: 'gmx:100217331'}) RETURN n,['gmx:100217331'],1
Phase 1,Direct Entity Lookup,Show me enzyme EC:6.4.1.2,T004,MATCH (n:EC {id: 'EC:6.4.1.2'}) RETURN n,['EC:6.4.1.2'],1
Phase 1,Direct Entity Lookup,Find compound C00141,T003,MATCH (n:Compound {id: 'C00141'}) RETURN n,['C00141'],1
Phase 1,Direct Entity Lookup,Get pathway path:ats01040,T002,MATCH (n:Pathway {id: 'path:ats01040'}) RETURN n,['path:ats01040'],1
Phase 1,Direct Entity Lookup,Display reaction R02814,T005,MATCH (n:Reaction {id: 'R02814'}) RETURN n,['R02814'],1
Phase 1,Direct Entity Lookup,List all genes,T046,MATCH (n:Gene) RETURN n LIMIT 20,"['ats:109732741', 'ats:109779197', 'ats:109767527', 'ats:109775477', 'ats:109735074', 'ats:109741796', 'ats:109746620', 'ats:109748080', 'ats:109763601', 'ats:120965235', 'ats:109750018', 'ats:109732591', 'ats:109733520', 'ats:109743038', 'ats:109759461', 'ats:109779325', 'ats:109741928', 'ats:109742039', 'ats:109745953', 'ats:109761559']",1
Phase 1,Direct Entity Lookup,Show me all pathways,T047,MATCH (n:Pathway) RETURN n LIMIT 20,"['path:ats00061', 'path:ats00062', 'path:ats00071', 'path:ats00100', 'path:ats00280', 'path:ats00310', 'path:ats00511', 'path:ats00561', 'path:ats00564', 'path:ats00565', 'path:ats00590', 'path:ats00591', 'path:ats00592', 'path:ats00600', 'path:ats00603', 'path:ats00905', 'path:ats01040', 'path:ats01212', 'path:ats03018', 'path:gmx00061']",1
Phase 1,Direct Entity Lookup,What compounds are in the database?,T048,MATCH (n:Compound) RETURN n LIMIT 20,"['C05223', 'C00001', 'C00229', 'C02679', 'C16520', 'C08362', 'C05755', 'C01571', 'C05752', 'C06423', 'C04088', 'C00138', 'C00007', 'C00080', 'C01203', 'C00139', 'C16221', 'C00004', 'C00003', 'C16220']",1
Phase 1,Direct Entity Lookup,Get all reactions,T050,MATCH (n:Reaction) RETURN n LIMIT 20,"['R06870', 'R06871', 'R07444', 'R07449', 'R04014', 'R08162', 'R08158', 'R08157', 'R03370', 'R07765', 'R07764', 'R07762', 'R08161', 'R07763', 'R08163', 'R02814', 'R08159', 'R04968', 'R04726', 'R04963']",1
Phase 1,Direct Entity Lookup,Display all enzymes,T049,MATCH (n:EC) RETURN n LIMIT 20,"['EC:3.1.3.75', 'EC:3.1.2.14', 'EC:3.1.2.21', 'EC:1.14.19.2', 'EC:1.3.1.9', 'EC:1.3.1.-', 'EC:2.3.1.-', 'EC:4.2.1.-', 'EC:2.3.1.41', 'EC:2.3.1.179', 'EC:2.3.1.199', 'EC:1.1.1.100', 'EC:2.3.1.85', 'EC:2.3.1.86', 'EC:1.3.1.10', 'EC:1.3.1.39', 'EC:1.3.1.104', 'EC:1.1.1.-', 'EC:2.3.1.39', 'EC:6.4.1.2']",1
Phase 1,Direct Entity Lookup,How many genes are there?,T041,MATCH (n:Gene) RETURN count(n),[{'count(n)': 1910}],1
Phase 1,Direct Entity Lookup,Count the number of pathways,T042,MATCH (n:Pathway) RETURN count(n),[{'count(n)': 100}],1
Phase 1,Direct Entity Lookup,How many reactions exist?,T045,MATCH (n:Reaction) RETURN count(n),[{'count(n)': 484}],1
Phase 1,Direct Entity Lookup,What's the total number of compounds?,T043,MATCH (n:Compound) RETURN count(n),[{'count(n)': 492}],1
