phase,category,question,check,cypher_executable
Phase 1,Direct Entity Lookup,What is gene gmx:100217331?,1,MATCH (n:Gene {id: 'gmx:100217331'}) RETURN n
Phase 1,Direct Entity Lookup,Show me enzyme EC:6.4.1.2,1,MATCH (n:EC {id: 'EC:6.4.1.2'}) RETURN n
Phase 1,Direct Entity Lookup,Find compound C00141,1,MATCH (n:Compound {id: 'C00141'}) RETURN n
Phase 1,Direct Entity Lookup,Get pathway path:ats01040,1,MATCH (n:Pathway {id: 'path:ats01040'}) RETURN n
Phase 1,Direct Entity Lookup,Display reaction R02814,1,MATCH (n:Reaction {id: 'R02814'}) RETURN n
Phase 1,Direct Entity Lookup,List all genes,1,MATCH (n:Gene) RETURN n LIMIT 100
Phase 1,Direct Entity Lookup,Show me all pathways,1,MATCH (n:Pathway) RETURN n LIMIT 100
Phase 1,Direct Entity Lookup,What compounds are in the database?,1,MATCH (n:Compound) RETURN n LIMIT 100
Phase 1,Direct Entity Lookup,Get all reactions,1,MATCH (n:Reaction) RETURN n LIMIT 100
Phase 1,Direct Entity Lookup,Display all enzymes,1,MATCH (n:EC) RETURN n LIMIT 100
Phase 1,Direct Entity Lookup,How many genes are there?,1,MATCH (n:Gene) RETURN count(n)
Phase 1,Direct Entity Lookup,Count the number of pathways,1,MATCH (n:Pathway) RETURN count(n)
Phase 1,Direct Entity Lookup,How many reactions exist?,1,MATCH (n:Reaction) RETURN count(n)
Phase 1,Direct Entity Lookup,What's the total number of compounds?,1,MATCH (n:Compound) RETURN count(n)
Phase 1,Direct Entity Lookup,Count all enzymes,1,MATCH (n:EC) RETURN count(n)
Phase 1,Direct Entity Lookup,Does gene gmx:100037478 exist?,1,MATCH (n:Gene {id: 'gmx:100037478'}) RETURN EXISTS((n))
Phase 1,Direct Entity Lookup,Is there a pathway path:gmx00280?,1,MATCH (n:Pathway {id: 'path:gmx00280'}) RETURN EXISTS((n))
Phase 1,Direct Entity Lookup,Do we have compound C00052?,1,MATCH (n:Compound {id: 'C00052'}) RETURN EXISTS((n))
Phase 1,Direct Entity Lookup,Check if enzyme EC:1.3.1.10 exists,1,MATCH (n:EC {id: 'EC:1.3.1.10'}) RETURN EXISTS((n))
Phase 1,Direct Entity Lookup,Is reaction R07449 in the database?,1,MATCH (n:Reaction {id: 'R07449'}) RETURN EXISTS((n))
Phase 1,Direct Entity Lookup,What are the properties of gene ath:AT1G01040?,1,MATCH (n:Gene {id: 'ath:AT1G01040'}) RETURN properties(n)
Phase 1,Direct Entity Lookup,Show all properties of pathway path:gmx00061,1,MATCH (n:Pathway {id: 'path:gmx00061'}) RETURN properties(n)
Phase 1,Direct Entity Lookup,Get information about compound C06157,1,MATCH (n:Compound {id: 'C06157'}) RETURN properties(n)
Phase 1,Direct Entity Lookup,Display properties of enzyme EC:4.2.1.59,1,MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n)
Phase 1,Direct Entity Lookup,What information is stored for reaction R00200?,1,MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n)
Phase 1,Simple Relationship Queries - Outgoing,What enzymes does gene ath:AT1G01050 encode?,1,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are encoded by gene ats:109733199?,1,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Show enzymes for gene ats:109761713,1,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,What does gene ath:AT1G54220 encode?,1,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,List enzyme functions of gene ath:AT2G06990,1,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Get EC numbers for gene ath:AT5G61540,1,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e
